Name,Price,Rating,city,Kilometers,Owner,Fuel_Type,Transmission,Insurance_Type,Car_Age
2010 Maruti Alto LXI,174699,4.0,3686,34854,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,14
2013 Maruti Wagon R 1.0 VXI,333999,4.2,3686,39541,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
2014 Maruti Wagon R 1.0 VXI,353199,4.3,3686,23233,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,10
2013 Hyundai Eon D LITE PLUS,237899,4.4,3686,27748,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
2017 Hyundai Eon ERA PLUS,300699,4.4,3686,12238,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,7
2013 Honda City V MT PETROL,507199,4.3,3686,34377,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,11
2008 Maruti Alto LXI,188147,3.9,3686,44132,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,16
2012 Honda Brio 1.2 V MT I VTEC,311099,4.3,3686,31719,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,12
2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT,607099,4.7,3686,17487,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,7
2017 Maruti Celerio ZXI OPT AMT,472099,4.6,3686,20010,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeZero_Dep,7
2017 Maruti Alto K10 VXI ,369799,4.5,3686,19279,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,7
2012 Maruti Alto 800 LXI,233459,4.2,3686,40557,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,12
2013 Hyundai Grand i10 SPORTS 1.2 VTVT,418699,4.4,3686,39422,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,11
2011 Chevrolet Captiva LTZ AWD AT,464915,4.0,3686,19832,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeThird_party,13
2013 Maruti Ritz VXI BS IV,333499,4.3,3686,45317,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,11
2008 Hyundai Santro Xing GL,178699,4.0,3686,84985,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,16
2013 Maruti Alto 800 LXI,257899,4.3,3686,47365,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
2015 Ford Ecosport 1.5 TITANIUM TI VCT,559299,3.9,3686,44368,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
2008 Maruti A Star VXI,213299,4.2,3686,40253,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,16
