Price,Rating,city,Kilometers,Owner,Fuel_Type,Transmission,Insurance_Type,Car_Age
174699,4.0,3686,34854,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,14
333999,4.2,3686,39541,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
353199,4.3,3686,23233,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,10
237899,4.4,3686,27748,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
300699,4.4,3686,12238,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,7
507199,4.3,3686,34377,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,11
188147,3.9,3686,44132,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,16
311099,4.3,3686,31719,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,12
607099,4.7,3686,17487,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,7
472099,4.6,3686,20010,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeZero_Dep,7
369799,4.5,3686,19279,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,7
233459,4.2,3686,40557,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,12
418699,4.4,3686,39422,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,11
464915,4.0,3686,19832,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeThird_party,13
333499,4.3,3686,45317,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,11
178699,4.0,3686,84985,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,16
257899,4.3,3686,47365,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
559299,3.9,3686,44368,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
213299,4.2,3686,40253,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,16
350799,4.2,3686,53279,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,9
454799,4.7,3686,46242,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,8
243989,4.2,3686,29214,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,14
290099,3.9,3686,46410,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,10
421699,4.3,3686,62206,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
438399,4.6,3686,17082,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,4
518099,4.4,3686,61923,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
247957,4.2,3686,38938,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,13
598875,4.5,3686,15609,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,7
678699,4.9,3686,3587,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,8
411398,4.3,3686,46727,OwnerThird Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,9
380599,4.6,3686,48243,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,9
584699,4.9,3686,6891,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,5
182599,4.1,3686,50156,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,15
339799,4.6,3686,20321,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,5
173399,4.0,3686,29879,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,16
672599,4.8,3686,11962,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,6
360599,4.3,3686,54919,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
241199,4.3,3686,31094,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,15
604299,4.5,3686,59826,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
153399,4.3,3686,59696,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,15
281599,4.2,3686,28790,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,14
531299,4.3,3686,39309,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
338799,4.3,3686,60866,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
181499,4.0,3686,67985,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,14
619199,4.5,3686,34345,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeThird_party,8
590199,4.6,3686,59957,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
354599,4.5,3686,38747,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,6
341933,4.0,3686,81726,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,14
639999,4.8,3686,22594,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,8
261499,4.3,3686,57525,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
486580,4.1,3686,27743,OwnerFirst Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeZero_Dep,6
336299,4.5,3686,37328,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeNA,7
432199,4.5,3686,31973,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,6
282899,4.3,3686,54368,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,13
343899,4.2,3686,59094,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
299799,4.3,3686,38472,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,9
318599,4.2,3686,68764,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,13
151899,4.0,3686,45920,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,17
409175,4.3,3686,53570,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,9
272142,4.2,3686,66427,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,15
694799,4.5,3686,39712,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeThird_party,6
371470,4.1,3686,25439,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,7
279599,3.8,3686,87828,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,12
271699,3.9,3686,90368,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
497400,4.4,3686,27797,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,7
719672,4.4,3686,29197,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeThird_party,6
494999,4.5,3686,31925,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,7
671205,4.7,3686,16141,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,5
452753,4.4,3686,74127,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,9
343740,4.1,3686,40681,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,8
560885,4.5,3686,28156,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,9
320699,4.0,3686,70993,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
538199,4.3,3686,78713,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,9
687299,4.5,3686,61489,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,7
382227,4.5,3686,34886,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,5
543099,4.4,3686,42546,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,6
633180,4.4,3686,23738,OwnerSecond Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,9
248899,4.3,3686,70903,OwnerSecond Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeComp,14
745853,4.9,3686,14598,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,5
604106,4.6,3686,27276,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,7
287165,3.7,3686,84373,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,15
734309,4.5,3686,35440,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,7
210099,4.0,3686,82748,OwnerSecond Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeExpired,15
244899,3.9,3686,114593,OwnerSecond Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeExpired,13
534199,4.2,3686,80990,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,10
239642,4.1,3686,81759,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,12
616999,4.3,3686,88336,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeExpired,8
291099,3.6,3686,163326,OwnerSecond Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,15
